user_id,comment_text,created_at,likes
69,"The UI is modern.",2023-04-09 12:00:00,7
70,"The support is good.",2023-04-10 14:15:00,5
71,"The analytics are useful.",2023-04-11 16:30:00,6
72,"The mobile app is fast.",2023-04-12 10:45:00,7
73,"The security is strong.",2023-04-13 13:00:00,8
74,"The pricing is good.",2023-04-14 15:15:00,5
75,"The integration works well.",2023-04-15 09:30:00,6
76,"The performance is solid.",2023-04-16 11:45:00,7
77,"The support is quick.",2023-04-17 14:00:00,5
78,"The mobile app is nice.",2023-04-18 16:15:00,7
79,"The reporting is clear.",2023-04-19 10:30:00,6
80,"The UI is clean.",2023-04-20 12:45:00,7
81,"The support is fast.",2023-04-21 15:00:00,5
82,"The analytics are good.",2023-04-22 09:15:00,6
83,"The mobile app is great.",2023-04-23 11:30:00,7
84,"The security is good.",2023-04-24 14:45:00,8
85,"The pricing is ok.",2023-04-25 16:00:00,5
86,"The integration is good.",2023-04-26 10:15:00,6
87,"The performance is good.",2023-04-27 12:30:00,7
88,"The support is ok.",2023-04-28 15:45:00,5
89,"The mobile app is ok.",2023-04-29 09:00:00,7
90,"The reporting is good.",2023-04-30 11:15:00,6
91,"The UI is nice.",2023-05-01 14:30:00,7
92,"The support is fine.",2023-05-02 16:45:00,5
93,"The analytics are fine.",2023-05-03 10:00:00,6
94,"The mobile app is fine.",2023-05-04 12:15:00,7
95,"The security is fine.",2023-05-05 15:30:00,8
96,"The pricing is fine.",2023-05-06 09:45:00,5
97,"The integration is fine.",2023-05-07 12:00:00,6
98,"The performance is fine.",2023-05-08 14:15:00,7
99,"The support is fine.",2023-05-09 16:30:00,5
100,"The mobile app is fine.",2023-05-10 10:45:00,7
